Reg.-Nr.	Gebiet	Bereich	Leitgemeinde	Wiki-ID (Leitgemeinde)	Großlage	Einzellage	ha	über NN	Neigung	Exposition
6.1.8.146	Mosel	Bernkastel	Erden	Q565749	Schwarzlay	Treppchen	36	110-220	hängig-steil	S
6.1.8.147	Mosel	Bernkastel	Hupperath	Q565320	Schwarzlay	Klosterweg	12	250-310	hängig-steil	SO
6.1.8.148	Mosel	Bernkastel	Bausendorf	Q569296	Schwarzlay	Hubertuslay	37	170-280	hängig-steil	S
6.1.8.149	Mosel	Bernkastel	Wittlich	Q559514	Schwarzlay	Rosenberg	46	195-260	steil	OSO
6.1.8.150	Mosel	Bernkastel	L�snich	Q510820	Schwarzlay	Burgberg	22	100-200	hängig-steil	NO
6.1.8.151	Mosel	Bernkastel	L�snich	Q510820	Schwarzlay	F�rsterlay	9	120-220	hängig-steil	SW
6.1.8.152	Mosel	Bernkastel	Wolf	Q1563313	Schwarzlay	Klosterberg	10	160-290	hängig	ONO-SSO
6.1.8.153	Mosel	Bernkastel	Wolf	Q1563313	Schwarzlay	Auf der Heide	1	260-300	steil	WSW
6.1.8.154	Mosel	Bernkastel	Trarbach	Q540919	Schwarzlay	Burgberg	2	120-280	steil	WSW
6.1.8.155	Mosel	Bernkastel	Traben	Q540919	Schwarzlay	Gaispfad	3	140-320	steil	W
6.1.8.156	Mosel	Bernkastel	Wolf	Q1563313	Schwarzlay	Goldgrube	8	120-160	steil	WSW
6.1.8.157	Mosel	Bernkastel	Trarbach	Q540919	Schwarzlay	H�hnerberg	3	100-280	steil	SSW
6.1.8.158	Mosel	Bernkastel	Springiersbach	Q547805	Schwarzlay	Klosterberg	15	170-210	hängig-steil	SW
6.1.8.159	Mosel	Bernkastel	Traben	Q540919	Schwarzlay	K�nigsberg	12	180-240	hängig-steil	ONO-S
6.1.8.160	Mosel	Bernkastel	Traben	Q540919	Schwarzlay	Kr�uterhaus	14	100-200	hängig	SSW
6.1.8.161	Mosel	Bernkastel	Starkenburg	Q682031	Schwarzlay	Rosengarten	1	200-300	steil	WSW
6.1.8.162	Mosel	Bernkastel	Wolf	Q1563313	Schwarzlay	Schatzgarten	27	140-180	hängig-steil	NO-OSO
6.1.8.163	Mosel	Bernkastel	Trarbach	Q540919	Schwarzlay	Schloßberg	12	100-260	hängig-steil	SW-W+S
6.1.8.164	Mosel	Bernkastel	Wolf	Q1563313	Schwarzlay	Sonnenlay	8	140-220	steil	OSO-SO
6.1.8.165	Mosel	Bernkastel	Trarbach	Q540919	Schwarzlay	Taubenhaus	8	120-220	hängig-steil	O-OSO
6.1.8.166	Mosel	Bernkastel	Trarbach	Q540919	Schwarzlay	Ungsberg	2	100-280	steil	SW
6.1.8.167	Mosel	Bernkastel	Traben	Q540919	Schwarzlay	W�rzgarten	30	120-220	hängig	W
6.1.8.168	Mosel	Bernkastel	Traben	Q540919	Schwarzlay	Zollturm	3	140-320	steil	WNW
6.1.8.169	Mosel	Bernkastel	�rzig	Q335018	Schwarzlay	W�rzgarten	52	110-220	hängig-steil	OSO-S
6.1.8.170	Mosel	Bernkastel	Wittlich	Q559514	Schwarzlay	Bottchen	4	200-260	steil	OSO
6.1.8.171	Mosel	Bernkastel	Wittlich	Q559514	Schwarzlay	Felsentreppchen	3	220-260	steil	OSO
6.1.8.172	Mosel	Bernkastel	Wittlich	Q559514	Schwarzlay	Lay	10	220-260	hängig	S+W
6.1.8.173	Mosel	Bernkastel	Wittlich	Q559514	Schwarzlay	Portnersberg	17	190-270	steil	SO-SSO
6.1.8.174	Mosel	Bernkastel	�rzig	Q335018	Schwarzlay	Goldwingert	1	110-150	steil	S
6.1.8.175	Mosel	Bernkastel	Kinheim	Q656236	Schwarzlay	R�merhang	24	110-180	hängig-steil	NO
6.1.9	Mosel	Bernkastel	Reil	Q656264	Vom hei�en Stein		314	90-260		
6.1.9.176	Mosel	Bernkastel	Briedel	Q565192	Vom hei�en Stein	Herzchen	41	95-180	hängig-steil	SW-SSW
6.1.9.177	Mosel	Bernkastel	Briedel	Q565192	Vom hei�en Stein	Nonnengarten	15	120-240	hängig-steil	SO
6.1.9.178	Mosel	Bernkastel	Briedel	Q565192	Vom hei�en Stein	Sch�ferlay	7	90-175	hängig-steil	WSW
6.1.9.179	Mosel	Bernkastel	Briedel	Q565192	Vom hei�en Stein	Schelm	20	95-120	hängig	ONO
6.1.9.180	Mosel	Bernkastel	Briedel	Q565192	Vom hei�en Stein	Weisser Berg	38	90-175		SW
6.1.9.181	Mosel	Bernkastel	P�nderich	Q567287	Vom hei�en Stein	Goldlay	19	100-180	hängig	NO
6.1.9.182	Mosel	Bernkastel	P�nderich	Q567287	Vom hei�en Stein	Marienburg	52	98-230	hängig-steil	O-S-W
6.1.9.183	Mosel	Bernkastel	P�nderich	Q567287	Vom hei�en Stein	Nonnengarten	9	100-180	hängig-steil	SSW
6.1.9.184	Mosel	Bernkastel	P�nderich	Q567287	Vom hei�en Stein	Rosenberg	24	100-230	hängig	W
6.1.9.185	Mosel	Bernkastel	Reil	Q656264	Vom hei�en Stein	Falklay	31	110-280	hängig-steil	O
6.1.9.186	Mosel	Bernkastel	Reil	Q656264	Vom hei�en Stein	Goldlay	17	100-260	hängig-steil	W
6.1.9.187	Mosel	Bernkastel	Reil	Q656264	Vom hei�en Stein	Moullay-Hofberg	40	110-260	hängig-steil	ONO-SO
6.1.9.188	Mosel	Bernkastel	Reil	Q656264	Vom hei�en Stein	Sorentberg	1	140-260	steil	S
6.1.10	Mosel	Bernkastel			R�merlay		114			
6.1.10.189	Mosel	Bernkastel	K�renz	Q883351	R�merlay	Altenberg	10	160-240	steil	S-SW
6.1.10.190	Mosel	Bernkastel	Tarforst	Q328287	R�merlay	Andreasberg	1	190-240	hängig	SO-SW
6.1.10.191	Mosel	Bernkastel	Biewer	Q245974	R�merlay	Augenscheiner	3	140-150	hängig	SSO
6.1.10.192	Mosel	Bernkastel	Olewig	Q885323	R�merlay	Benediktinerberg	3	165-190	hängig-steil	SW
6.1.10.193	Mosel	Bernkastel	Olewig	Q885323	R�merlay	Burgberg	8	160-200	hängig-steil	S-SW
6.1.10.194	Mosel	Bernkastel	Trier	Q3138	R�merlay	Deutschherrenberg	13	160-250	hängig	S-WSW
6.1.10.195	Mosel	Bernkastel	Trier	Q3138	R�merlay	Deutschherrenk�pfchen	1	150-200	steil	S-SSW
6.1.10.196	Mosel	Bernkastel	Ruwer	Q316811	R�merlay	Domherrenberg	11	160-250	hängig-steil	WNW-NW
6.1.10.197	Mosel	Bernkastel	Trier	Q3138	R�merlay	Hammerstein	17	240-280	hängig-steil	SSW
6.1.10.198	Mosel	Bernkastel	K�renz	Q883351	R�merlay	Herrenberg	7	230-280	hängig-steil	SW
6.1.10.199	Mosel	Bernkastel	Olewig	Q885323	R�merlay	Jesuitenwingert	10	160-200	hängig-steil	SO-SSO
