LN	WLV-ID	Reg.-Nr.	Status	Typ	Gebiet	Bereich	Leitgemeinde	Wikidata-ID (Leitgemeinde)	Großlage	Wikidata-ID (Großlage)	Ort	Wikidata-ID (Ort)	Einzellage	ha	über NN	Neigung	Exposition
306	wlv-632057	6.3.2.057	aktuell	Einzellage	Mosel	Burg Cochem	Eller	Q547805	Grafschaft		k.A.	k.A.	Kapplay	1	170-270	steil	SW
307	wlv-633000	6.3.3	aktuell	Großlage	Mosel	Burg Cochem	k.A.	k.A.	Rosenhang		k.A.	k.A.	k.A.	292	80-270		
308	wlv-633058	6.3.3.058	aktuell	Einzellage	Mosel	Burg Cochem	Beilstein	Q652238	Rosenhang		k.A.	k.A.	Schloßberg	3	86-240	hängig-steil	SW + WNW
309	wlv-633059	6.3.3.059	aktuell	Einzellage	Mosel	Burg Cochem	Bremm	Q113378	Rosenhang		k.A.	k.A.	Abtei Kloster Stuben	14	95-180	hängig	W
310	wlv-633060	6.3.3.060	aktuell	Einzellage	Mosel	Burg Cochem	Briedern	Q1517	Rosenhang		k.A.	k.A.	Kapellenberg	1	95-180	steil	SW
311	wlv-633061	6.3.3.061	aktuell	Einzellage	Mosel	Burg Cochem	Briedern	Q1517	Rosenhang		k.A.	k.A.	Römergarten	36	92-110	hängig	NW
312	wlv-633062	6.3.3.062	aktuell	Einzellage	Mosel	Burg Cochem	Briedern	Q1517	Rosenhang		k.A.	k.A.	Servatiusberg	6	100-120	hängig	NO
313	wlv-633063	6.3.3.063	aktuell	Einzellage	Mosel	Burg Cochem	Bruttig-Fankel	Q574161	Rosenhang		k.A.	k.A.	Kapellenberg	32	100-130	hängig	WNW
314	wlv-633064	6.3.3.064	aktuell	Einzellage	Mosel	Burg Cochem	Fankel	Q574161	Rosenhang		k.A.	k.A.	Layenberg	11	70-170	steil	WSW
315	wlv-633065	6.3.3.065	aktuell	Einzellage	Mosel	Burg Cochem	Bruttig	Q574161	Rosenhang		k.A.	k.A.	Rathausberg	10	90-170	hängig-steil	SO-W
316	wlv-633066	6.3.3.066	aktuell	Einzellage	Mosel	Burg Cochem	Cond	Q502749	Rosenhang		k.A.	k.A.	Rosenberg	3	100-200	hängig-steil	WSW
317	wlv-633067	6.3.3.067	aktuell	Einzellage	Mosel	Burg Cochem	Bruttig	Q574161	Rosenhang		k.A.	k.A.	Pfarrgarten	6	70-170	steil	S-WSW
318	wlv-633068	6.3.3.068	aktuell	Einzellage	Mosel	Burg Cochem	Cond	Q502749	Rosenhang		k.A.	k.A.	Arzlay	1	90-200	hängig-steil	W
319	wlv-633069	6.3.3.069	aktuell	Einzellage	Mosel	Burg Cochem	Cond	Q502749	Rosenhang		k.A.	k.A.	Nikolausberg	6	90-150	hängig-steil	S
320	wlv-633070	6.3.3.070	aktuell	Einzellage	Mosel	Burg Cochem	Fankel	Q574161	Rosenhang		k.A.	k.A.	Rosenberg	7	70-170	steil	SW
321	wlv-633071	6.3.3.071	aktuell	Einzellage	Mosel	Burg Cochem	Ellenz	Q566958	Rosenhang		k.A.	k.A.	Silberberg	3	80-130	steil	SO
322	wlv-633072	6.3.3.072	aktuell	Einzellage	Mosel	Burg Cochem	Ellenz	Q566958	Rosenhang		k.A.	k.A.	Woogberg	1	80-130	steil	SW
323	wlv-633073	6.3.3.073	aktuell	Einzellage	Mosel	Burg Cochem	Mesenich	Q610893	Rosenhang		k.A.	k.A.	Abteiberg	40	89-190	hängig	WSW-WN
324	wlv-633074	6.3.3.074	aktuell	Einzellage	Mosel	Burg Cochem	Mesenich	Q610893	Rosenhang		k.A.	k.A.	Deuslay	7	100-270	steil	SW
325	wlv-633075	6.3.3.075	aktuell	Einzellage	Mosel	Burg Cochem	Mesenich	Q610893	Rosenhang		k.A.	k.A.	Goldgrübchen	20	100-230	hängig-steil	WSW
326	wlv-633076	6.3.3.076	aktuell	Einzellage	Mosel	Burg Cochem	Senheim	Q653097	Rosenhang		k.A.	k.A.	Bienengarten	4	95-120	hängig-steil	WNW
327	wlv-633077	6.3.3.077	aktuell	Einzellage	Mosel	Burg Cochem	Senheim	Q653097	Rosenhang		k.A.	k.A.	Rosenberg	9	100-140	hängig-steil	NNW
328	wlv-633078	6.3.3.078	aktuell	Einzellage	Mosel	Burg Cochem	Senheim	Q653097	Rosenhang		k.A.	k.A.	Vogteiberg	2	110-160	hängig-steil	W-NW
329	wlv-633079	6.3.3.079	aktuell	Einzellage	Mosel	Burg Cochem	Senheim	Q653097	Rosenhang		k.A.	k.A.	Wahrsager	3	100-140	hängig-steil	SSO
330	wlv-633080	6.3.3.080	aktuell	Einzellage	Mosel	Burg Cochem	Trais	Q6566110	Rosenhang		k.A.	k.A.	Greth	1	80-220	hängig-steil	S-WSW
331	wlv-633081	6.3.3.081	aktuell	Einzellage	Mosel	Burg Cochem	Trais	Q6566110	Rosenhang		k.A.	k.A.	Kapellenberg	10	80-200	hängig-steil	SO-S-NW
332	wlv-633082	6.3.3.082	aktuell	Einzellage	Mosel	Burg Cochem	Trais	Q6566110	Rosenhang		k.A.	k.A.	Treppchen	2	80-165	hängig-steil	SO-S, W
333	wlv-633083	6.3.3.083	aktuell	Einzellage	Mosel	Burg Cochem	Valwig	Q656297	Rosenhang		k.A.	k.A.	Herrenberg	20	90-200	hängig-steil	SO-SW
334	wlv-633084	6.3.3.084	aktuell	Einzellage	Mosel	Burg Cochem	Valwig	Q656297	Rosenhang		k.A.	k.A.	Schwarzenberg	8	90-150	hängig-steil	SSO
335	wlv-633085	6.3.3.085	aktuell	Einzellage	Mosel	Burg Cochem	Eller	Q547805	Rosenhang		k.A.	k.A.	Stubener Klostersegen	11	89-180	hängig-steil	NNO + S-
336	wlv-633086	6.3.3.086	aktuell	Einzellage	Mosel	Burg Cochem	Senheim	Q653097	Rosenhang		k.A.	k.A.	Lay	15	89-135	hängig-steil	S-SW
337	wlv-634000	6.3.4	aktuell	Großlage	Mosel	Burg Cochem	k.A.	k.A.	Schwarze Katz	Q2253665	k.A.	k.A.	k.A.	333	100-200		
338	wlv-634087	6.3.4.087	aktuell	Einzellage	Mosel	Burg Cochem	Zell	Q187500	Schwarze Katz	Q2253665	k.A.	k.A.	Burglay-Felsen	28	100-200	hängig-steil	SW
339	wlv-634088	6.3.4.088	aktuell	Einzellage	Mosel	Burg Cochem	Zell	Q187500	Schwarze Katz	Q2253665	k.A.	k.A.	Domherrenberg	25	100-200	hängig-steil	SO
340	wlv-634089	6.3.4.089	aktuell	Einzellage	Mosel	Burg Cochem	Zell	Q187500	Schwarze Katz	Q2253665	k.A.	k.A.	Geisberg	9	100-200	hängig-steil	SO
341	wlv-634090	6.3.4.090	aktuell	Einzellage	Mosel	Burg Cochem	Zell	Q187500	Schwarze Katz	Q2253665	k.A.	k.A.	Kreuzlay	20	100-200	hängig-steil	SSO
342	wlv-634091	6.3.4.091	aktuell	Einzellage	Mosel	Burg Cochem	Zell	Q187500	Schwarze Katz	Q2253665	k.A.	k.A.	Nussberg	10	100-200	hängig-steil	SSW
343	wlv-634092	6.3.4.092	aktuell	Einzellage	Mosel	Burg Cochem	Zell	Q187500	Schwarze Katz	Q2253665	k.A.	k.A.	Petersborn-Kabertchen	12	100-200	hängig-steil	WSW
344	wlv-634093	6.3.4.093	aktuell	Einzellage	Mosel	Burg Cochem	Zell	Q187500	Schwarze Katz	Q2253665	k.A.	k.A.	Pommerell	10	100-200	hängig-steil	WSW
345	wlv-634094	6.3.4.094	aktuell	Einzellage	Mosel	Burg Cochem	Kaimt	Q187500	Schwarze Katz	Q2253665	k.A.	k.A.	Marienburger	11	100-200	hängig-steil	NNO
346	wlv-634095	6.3.4.095	aktuell	Einzellage	Mosel	Burg Cochem	Zell	Q187500	Schwarze Katz	Q2253665	k.A.	k.A.	Römerquelle	71	100-200	hängig-steil	O-SO
347	wlv-634096	6.3.4.096	aktuell	Einzellage	Mosel	Burg Cochem	Kaimt	Q187500	Schwarze Katz	Q2253665	k.A.	k.A.	Rosenborn	23	100-180	hängig-steil	NO-O
348	wlv-634097	6.3.4.097	aktuell	Einzellage	Mosel	Burg Cochem	Merl	Q1921880	Schwarze Katz	Q2253665	k.A.	k.A.	Adler	16	100-200	hängig-steil	S-SSW
349	wlv-634098	6.3.4.098	aktuell	Einzellage	Mosel	Burg Cochem	Merl	Q1921880	Schwarze Katz	Q2253665	k.A.	k.A.	Fettgarten	18	100-200	hängig-steil	SSO
350	wlv-634099	6.3.4.099	aktuell	Einzellage	Mosel	Burg Cochem	Merl	Q1921880	Schwarze Katz	Q2253665	k.A.	k.A.	Klosterberg	34	100-200	hängig-steil	SO
351	wlv-634100	6.3.4.100	aktuell	Einzellage	Mosel	Burg Cochem	Merl	Q1921880	Schwarze Katz	Q2253665	k.A.	k.A.	Königslay-Terrassen	8	100-200	steil	S
352	wlv-634101	6.3.4.101	aktuell	Einzellage	Mosel	Burg Cochem	Merl	Q1921880	Schwarze Katz	Q2253665	k.A.	k.A.	Stephansberg	33	100-200	hängig-steil	SSO
353	wlv-634102	6.3.4.102	aktuell	Einzellage	Mosel	Burg Cochem	Merl	Q1921880	Schwarze Katz	Q2253665	k.A.	k.A.	Sonneck	5	100-160	hängig	SW
354	wlv-635000	6.3.5	aktuell	Großlage	Mosel	Burg Cochem	Winningen	Q822358	Weinhex		k.A.	k.A.	k.A.	251	65-210		
355	wlv-635103	6.3.5.103	aktuell	Einzellage	Mosel	Burg Cochem	Alken	Q305288	Weinhex		k.A.	k.A.	Bleidenberg	4	65-200	hängig-steil	S-WSW
356	wlv-635104	6.3.5.104	aktuell	Einzellage	Mosel	Burg Cochem	Alken	Q305288	Weinhex		k.A.	k.A.	Burgberg	10	70-170	hängig-steil	WNW
357	wlv-635105	6.3.5.105	aktuell	Einzellage	Mosel	Burg Cochem	Alken	Q305288	Weinhex		k.A.	k.A.	Hunnenstein	3	65-200	hängig-steil	SW-WNW
358	wlv-635106	6.3.5.106	aktuell	Einzellage	Mosel	Burg Cochem	Burgen	Q679415	Weinhex		k.A.	k.A.	Bischofstein	1	85-135	hängig	SW-WNW
359	wlv-635107	6.3.5.107	aktuell	Einzellage	Mosel	Burg Cochem	Dieblich	Q565313	Weinhex		k.A.	k.A.	Heilgraben	2	100-200	hängig-steil	SW
360	wlv-635108	6.3.5.108	aktuell	Einzellage	Mosel	Burg Cochem	Güls	Q1777938	Weinhex		k.A.	k.A.	Bienengarten	7	80-140	hängig-steil	SO
361	wlv-635109	6.3.5.109	aktuell	Einzellage	Mosel	Burg Cochem	Güls	Q1777938	Weinhex		k.A.	k.A.	Königsfels	15	65-110	hängig-steil	SO
362	wlv-635110	6.3.5.110	aktuell	Einzellage	Mosel	Burg Cochem	Güls	Q1777938	Weinhex		k.A.	k.A.	Marienberg	4	75-135	hängig-steil	SO
363	wlv-635111	6.3.5.111	aktuell	Einzellage	Mosel	Burg Cochem	Hatzenport	Q554243	Weinhex		k.A.	k.A.	Burg Bischofstein	5	80-200	hängig-steil	SO
364	wlv-635112	6.3.5.112	aktuell	Einzellage	Mosel	Burg Cochem	Hatzenport	Q554243	Weinhex		k.A.	k.A.	Kirchberg	6	82-200	steil	S
365	wlv-635113	6.3.5.113	aktuell	Einzellage	Mosel	Burg Cochem	Hatzenport	Q554243	Weinhex		k.A.	k.A.	Stolzenberg	2	82-200	steil	S
366	wlv-635114	6.3.5.114	aktuell	Einzellage	Mosel	Burg Cochem	Kattenes	Q1736818	Weinhex		k.A.	k.A.	Steinchen	3	70-170	hängig-steil	OSO
367	wlv-635115	6.3.5.115	aktuell	Einzellage	Mosel	Burg Cochem	Kattenes	Q1736818	Weinhex		k.A.	k.A.	Fahrberg	1	80-150	steil	O
368	wlv-635116	6.3.5.116	aktuell	Einzellage	Mosel	Burg Cochem	Kobern	Q553347	Weinhex		k.A.	k.A.	Fahrberg	4	68-160	steil	SO
369	wlv-635117	6.3.5.117	aktuell	Einzellage	Mosel	Burg Cochem	Gondorf	Q553347	Weinhex		k.A.	k.A.	Fuchshöhle	2	85-150	steil	SW
370	wlv-635118	6.3.5.118	aktuell	Einzellage	Mosel	Burg Cochem	Gondorf	Q553347	Weinhex		k.A.	k.A.	Gäns	2	70-140	steil	SSO
371	wlv-635119	6.3.5.119	aktuell	Einzellage	Mosel	Burg Cochem	Gondorf	Q553347	Weinhex		k.A.	k.A.	Kehrberg	1	90-170	steil	SSW
372	wlv-635120	6.3.5.120	aktuell	Einzellage	Mosel	Burg Cochem	Gondorf	Q553347	Weinhex		k.A.	k.A.	Schloßberg	10	70-160	steil	O-S
373	wlv-635121	6.3.5.121	aktuell	Einzellage	Mosel	Burg Cochem	Kobern	Q553347	Weinhex		k.A.	k.A.	Weißenberg	8	70-180	hängig-steil	SO-SSW
374	wlv-635122	6.3.5.122	aktuell	Einzellage	Mosel	Burg Cochem	Lay	Q1328018	Weinhex		k.A.	k.A.	Hamm 	9	67-140	hängig-steil	WSW
375	wlv-635123	6.3.5.123	aktuell	Einzellage	Mosel	Burg Cochem	Lay	Q1328018	Weinhex		k.A.	k.A.	Hubertusborn	3	75-100	hängig-steil	WSW-WN
376	wlv-635124	6.3.5.124	aktuell	Einzellage	Mosel	Burg Cochem	Lehmen	Q567585	Weinhex		k.A.	k.A.	Ausoniusstein	3	80-180	hängig-steil	SO
377	wlv-635125	6.3.5.125	aktuell	Einzellage	Mosel	Burg Cochem	Lehmen	Q567585	Weinhex		k.A.	k.A.	Klosterberg	10	90-170	hängig-steil	SSO
378	wlv-635126	6.3.5.126	aktuell	Einzellage	Mosel	Burg Cochem	Lehmen	Q567585	Weinhex		k.A.	k.A.	Lay	2	80-150	hängig-steil	
379	wlv-635127	6.3.5.127	aktuell	Einzellage	Mosel	Burg Cochem	Lehmen	Q567585	Weinhex		k.A.	k.A.	Würzlay	7	80-180	hängig-steil	O-SO
380	wlv-635128	6.3.5.128	aktuell	Einzellage	Mosel	Burg Cochem	Löf	Q553970	Weinhex		k.A.	k.A.	Goldblume	4	75-170	hängig-steil	SO-S
381	wlv-635129	6.3.5.129	aktuell	Einzellage	Mosel	Burg Cochem	Löf	Q553970	Weinhex		k.A.	k.A.	Sonnenring	3	75-180	hängig-steil	OSO
382	wlv-635130	6.3.5.130	aktuell	Einzellage	Mosel	Burg Cochem	Niederfell	Q553445	Weinhex		k.A.	k.A.	Fächern	9	72-140	hängig-steil	W
383	wlv-635131	6.3.5.131	aktuell	Einzellage	Mosel	Burg Cochem	Niederfell	Q553445	Weinhex		k.A.	k.A.	Goldlay	3	73-140	hängig-steil	WNW
384	wlv-635132	6.3.5.132	aktuell	Einzellage	Mosel	Burg Cochem	Niederfell	Q553445	Weinhex		k.A.	k.A.	Kahllay	4	72-140	hängig-steil	WSW
385	wlv-635133	6.3.5.133	aktuell	Einzellage	Mosel	Burg Cochem	Oberfell	Q647068	Weinhex		k.A.	k.A.	Brauneberg	1	90-200	hängig-steil	S
386	wlv-635134	6.3.5.134	aktuell	Einzellage	Mosel	Burg Cochem	Oberfell	Q647068	Weinhex		k.A.	k.A.	Rosenberg	1	75-200	hängig-steil	W-NW
387	wlv-635135	6.3.5.135	aktuell	Einzellage	Mosel	Burg Cochem	Winningen	Q822358	Weinhex		k.A.	k.A.	Brückstück	8	70-200	steil	SSO
388	wlv-635136	6.3.5.136	aktuell	Einzellage	Mosel	Burg Cochem	Winningen	Q822358	Weinhex		k.A.	k.A.	Domgarten	56	70-170	hängig-steil	SO-S
389	wlv-635137	6.3.5.137	aktuell	Einzellage	Mosel	Burg Cochem	Winningen	Q822358	Weinhex		k.A.	k.A.	Hamm	12	75-210	steil	S-SW
390	wlv-635138	6.3.5.138	aktuell	Einzellage	Mosel	Burg Cochem	Winningen	Q822358	Weinhex		k.A.	k.A.	Röttgen	11	70-180	steil	SSO
391	wlv-635139	6.3.5.139	aktuell	Einzellage	Mosel	Burg Cochem	Brodenbach	Q168070	Weinhex		k.A.	k.A.	Neuwingert	1	80-140	hängig	SO
392	wlv-635140	6.3.5.140	aktuell	Einzellage	Mosel	Burg Cochem	Winningen	Q822358	Weinhex		k.A.	k.A.	Uhlen	14	65-210	steil	SW-S
393	wlv-640000	6,4	aktuell	Bereich	Mosel	Ruwertal	k.A.	k.A.			k.A.	k.A.	k.A.	190	130-330		
394	wlv-641000	6.4.1.	aktuell	Großlage	Mosel	Ruwertal	Trier	Q3138	großlagenfrei		k.A.	k.A.	k.A.	190	130-330		
395	wlv-641001	6.4.1.001	aktuell	Einzellage	Mosel	Ruwertal	Morscheid	Q656840	großlagenfrei		k.A.	k.A.	Dominikanerberg	5	200-280	steil	SW
396	wlv-641002	6.4.1.002	aktuell	Einzellage	Mosel	Ruwertal	Kasel	Q659935	großlagenfrei		k.A.	k.A.	Herrenberg	7	180-280	hängig-steil	SSO-W
397	wlv-641003	6.4.1.003	aktuell	Einzellage	Mosel	Ruwertal	Kasel	Q659935	großlagenfrei		k.A.	k.A.	Hitzlay	8	210-290	hängig-steil	SO-SW
398	wlv-641004	6.4.1.004	aktuell	Einzellage	Mosel	Ruwertal	Kasel	Q659935	großlagenfrei		k.A.	k.A.	Kehrnagel	12	200-300	hängig-steil	SW
399	wlv-641005	6.4.1.005	aktuell	Einzellage	Mosel	Ruwertal	Kasel	Q659935	großlagenfrei		k.A.	k.A.	Nies'chen	14	170-240	hängig-steil	SSW
400	wlv-641006	6.4.1.006	aktuell	Einzellage	Mosel	Ruwertal	Kasel	Q659935	großlagenfrei		k.A.	k.A.	Timpert	1	210-230	hängig	SO
401	wlv-641007	6.4.1.007	aktuell	Einzellage	Mosel	Ruwertal	Lorenzhof	Q659878	großlagenfrei		k.A.	k.A.	Felslay	3	130-190	hängig-steil	WSW
402	wlv-641008	6.4.1.008	aktuell	Einzellage	Mosel	Ruwertal	Lorenzhof	Q659878	großlagenfrei		k.A.	k.A.	Mäuerchen	3	130-160	hängig-steil	SW
403	wlv-641009	6.4.1.009	aktuell	Einzellage	Mosel	Ruwertal	Maximin Grünhaus	Q659878	großlagenfrei		k.A.	k.A.	Abtsberg	14	180-240	hängig	SO
404	wlv-641010	6.4.1.010	aktuell	Einzellage	Mosel	Ruwertal	Maximin Grünhaus	Q659878	großlagenfrei		k.A.	k.A.	Bruderberg	1	137-180	hängig	SO
405	wlv-641011	6.4.1.011	aktuell	Einzellage	Mosel	Ruwertal	Mertesdorf	Q659878	großlagenfrei		k.A.	k.A.	Herrenberg	30	130-240	hängig-steil	WSW
406	wlv-641012	6.4.1.012	aktuell	Einzellage	Mosel	Ruwertal	Sommerau	Q631137	großlagenfrei		k.A.	k.A.	Schloßberg	5	180-280	steil	S
407	wlv-641013	6.4.1.013	aktuell	Einzellage	Mosel	Ruwertal	Eitelsbach	Q316811	Römerlay		k.A.	k.A.	Marienholz	31	170-250	hängig-steil	SW-W
408	wlv-641014	6.4.1.014	aktuell	Einzellage	Mosel	Ruwertal	Ruwer	Q316811	großlagenfrei		k.A.	k.A.	Maximiner	1	170-255	steil	OSO
409	wlv-641015	6.4.1.015	aktuell	Einzellage	Mosel	Ruwertal	Waldrach	Q569807	großlagenfrei		k.A.	k.A.	Ehrenberg	4	250-330	hängig	SSW-W
410	wlv-641016	6.4.1.016	aktuell	Einzellage	Mosel	Ruwertal	Waldrach	Q569807	großlagenfrei		k.A.	k.A.	Jesuitengarten	1	170-230	hängig-steil	SW
411	wlv-641017	6.4.1.017	aktuell	Einzellage	Mosel	Ruwertal	Waldrach	Q569807	großlagenfrei		k.A.	k.A.	Krone	12	170-320	hängig-steil	SW
412	wlv-641018	6.4.1.018	aktuell	Einzellage	Mosel	Ruwertal	Waldrach	Q569807	großlagenfrei		k.A.	k.A.	Laurentiusberg	5	170-280	hängig-steil	S
413	wlv-641019	6.4.1.019	aktuell	Einzellage	Mosel	Ruwertal	Waldrach	Q569807	Römerlay		k.A.	k.A.	Meisenberg	9	180-320	hängig-steil	SO-S
414	wlv-641020	6.4.1.020	aktuell	Einzellage	Mosel	Ruwertal	Waldrach	Q569807	großlagenfrei		k.A.	k.A.	Sonnenberg	7	260-320	steil	SW
415	wlv-641021	6.4.1.021	aktuell	Einzellage	Mosel	Ruwertal	Eitelsbach	Q316811	großlagenfrei		k.A.	k.A.	Karthäuserhofberg	17	170-250	hängig-steil	SSO-SSW
416	wlv-650000	6,5	aktuell	Bereich	Mosel	Saar	k.A.	k.A.	k.A.		k.A.	k.A.	k.A.	729			
417	wlv-651000	6.5.1	aktuell	Großlage	Mosel	Saar	k.A.	k.A.	Scharzberg		k.A.	k.A.	k.A.	729	130-380		
418	wlv-651001	6.5.1.001	aktuell	Einzellage	Mosel	Saar	Filzen	Q47087896	Scharzberg		k.A.	k.A.	Herrenberg	5	155-210	hängig-steil	WSW
419	wlv-651002	6.5.1.002	aktuell	Einzellage	Mosel	Saar	Wiltingen	Q161930	Scharzberg		k.A.	k.A.	Kupp	50	135-270	hängig-steil	SW
420	wlv-651003	6.5.1.003	aktuell	Einzellage	Mosel	Saar	Ayl	Q186199	Scharzberg		k.A.	k.A.	Scheidterberg	3	145-320	hängig-steil	SO-S
421	wlv-651004	6.5.1.004	aktuell	Einzellage	Mosel	Saar	Niedermennig	Q503185	Scharzberg		k.A.	k.A.	Herrenberg	6	200-280	hängig-steil	SSO
422	wlv-651005	6.5.1.005	aktuell	Einzellage	Mosel	Saar	Filzen	Q47087896	Scharzberg		k.A.	k.A.	Pulchen	2	142-192	hängig-steil	W
423	wlv-651006	6.5.1.006	aktuell	Einzellage	Mosel	Saar	Filzen	Q47087896	Scharzberg		k.A.	k.A.	Steinberger	4	160-240	hängig-steil	SO
424	wlv-651007	6.5.1.007	aktuell	Einzellage	Mosel	Saar	Filzen	Q47087896	Scharzberg		k.A.	k.A.	Unterberg	6	140-170	hängig-steil	SO-S
425	wlv-651008	6.5.1.008	aktuell	Einzellage	Mosel	Saar	Filzen	Q47087896	Scharzberg		k.A.	k.A.	Urbelt	4	150-220	steil	SW
426	wlv-651009	6.5.1.009	aktuell	Einzellage	Mosel	Saar	Kanzem	Q569862	Scharzberg		k.A.	k.A.	Sonnenberg	19	134-250	hängig-steil	SW-WNW
427	wlv-651010	6.5.1.010	aktuell	Einzellage	Mosel	Saar	Kanzem	Q569862	Scharzberg		k.A.	k.A.	Hörecker	1	140-250	steil	SO
428	wlv-651011	6.5.1.011	aktuell	Einzellage	Mosel	Saar	Kanzem	Q569862	Scharzberg		k.A.	k.A.	Schloßberg	1	134-250	hängig-steil	O
429	wlv-651012	6.5.1.012	aktuell	Einzellage	Mosel	Saar	Niedermennig	Q503185	Scharzberg		k.A.	k.A.	Sonnenberg	27	200-280	hängig-steil	SW
430	wlv-651013	6.5.1.013	aktuell	Einzellage	Mosel	Saar	Kanzem	Q569862	Scharzberg		k.A.	k.A.	Altenberg	19	134-250	hängig-steil	SO
431	wlv-651014	6.5.1.014	aktuell	Einzellage	Mosel	Saar	Kastel-Staadt	Q553490	Scharzberg		k.A.	k.A.	Maximiner Prälat	4	150-250	steil	SO-SSO
432	wlv-651015	6.5.1.015	aktuell	Einzellage	Mosel	Saar	Könen	Q1795916	Scharzberg		k.A.	k.A.	Fels	3	142-240	hängig	O
433	wlv-651016	6.5.1.016	aktuell	Einzellage	Mosel	Saar	Könen	Q1795916	Scharzberg		k.A.	k.A.	Kirchberg	1	140-240	hängig	O
434	wlv-651017	6.5.1.017	aktuell	Einzellage	Mosel	Saar	Konz	Q503185	Scharzberg		k.A.	k.A.	Auf der Wiltinger Kupp	10	180-250	hängig-steil	SO-SW
435	wlv-651018	6.5.1.018	aktuell	Einzellage	Mosel	Saar	Konz	Q503185	Scharzberg		k.A.	k.A.	Euchariusberg	7	160-250	hängig-steil	SW
436	wlv-651019	6.5.1.019	aktuell	Einzellage	Mosel	Saar	Falkenstein	Q818576	Scharzberg		k.A.	k.A.	Hofberg	14	180-240	flach	
437	wlv-651020	6.5.1.020	aktuell	Einzellage	Mosel	Saar	Konz	Q503185	Scharzberg		k.A.	k.A.	Karthäuser Klosterberg	3	140-250	hängig-steil	NO
438	wlv-651021	6.5.1.021	aktuell	Einzellage	Mosel	Saar	Krettnach	Q503185	Scharzberg		k.A.	k.A.	Altenberg	20	220-300	hängig-steil	
439	wlv-651022	6.5.1.022	aktuell	Einzellage	Mosel	Saar	Krettnach	Q503185	Scharzberg		k.A.	k.A.	Euchariusberg	41	220-300	hängig-steil	SW-W
440	wlv-651023	6.5.1.023	aktuell	Einzellage	Mosel	Saar	Serrig	Q656819	Scharzberg		k.A.	k.A.	Herrenberg	21	160-360	steil	SSW
441	wlv-651024	6.5.1.024	aktuell	Einzellage	Mosel	Saar	Ayl	Q186199	Scharzberg		k.A.	k.A.	Sonnenberg	21	190-220	steil	SO-S-WS
442	wlv-651025	6.5.1.025	aktuell	Einzellage	Mosel	Saar	Oberemmel	Q47037444	Scharzberg		k.A.	k.A.	Agritiusberg	3	170-180	hängig	SO
443	wlv-651026	6.5.1.026	aktuell	Einzellage	Mosel	Saar	Oberemmel	Q47037444	Scharzberg		k.A.	k.A.	Altenberg	11	200-320	hängig-steil	SO
444	wlv-651027	6.5.1.027	aktuell	Einzellage	Mosel	Saar	Oberemmel	Q47037444	Scharzberg		k.A.	k.A.	Hütte	5	190-230	hängig-steil	SO
445	wlv-651028	6.5.1.028	aktuell	Einzellage	Mosel	Saar	Oberemmel	Q47037444	Scharzberg		k.A.	k.A.	Karlsberg	32	190-260	hängig	SW
446	wlv-651029	6.5.1.029	aktuell	Einzellage	Mosel	Saar	Oberemmel	Q47037444	Scharzberg		k.A.	k.A.	Raul	2	160-180	steil	SO
447	wlv-651030	6.5.1.030	aktuell	Einzellage	Mosel	Saar	Oberemmel	Q47037444	Scharzberg		k.A.	k.A.	Rosenberg	32	170-270	hängig-steil	SW
448	wlv-651031	6.5.1.031	aktuell	Einzellage	Mosel	Saar	Ockfen	Q643198	Scharzberg		k.A.	k.A.	Bockstein	53	160-300	hängig-steil	S-W+O-O
449	wlv-651032	6.5.1.032	aktuell	Einzellage	Mosel	Saar	Ockfen	Q643198	Scharzberg		k.A.	k.A.	Geisberg	5	200-380	hängig-steil	SSO-S
450	wlv-651033	6.5.1.033	aktuell	Einzellage	Mosel	Saar	Saarburg	Q543639	Scharzberg		k.A.	k.A.	Antoniusbrunnen	7	190-290	steil	S
451	wlv-651034	6.5.1.034	aktuell	Einzellage	Mosel	Saar	Saarburg	Q543639	Scharzberg		k.A.	k.A.	Bergschlößchen	3	190-280	steil	SW-SO
452	wlv-651035	6.5.1.035	aktuell	Einzellage	Mosel	Saar	Saarburg	Q543639	Scharzberg		k.A.	k.A.	Schloßberg	1	160-230	steil	O
453	wlv-651036	6.5.1.036	aktuell	Einzellage	Mosel	Saar	Saarburg	Q543639	Scharzberg		k.A.	k.A.	Fuchs	6	180-310	steil	SO
454	wlv-651037	6.5.1.037	aktuell	Einzellage	Mosel	Saar	Saarburg	Q543639	Scharzberg		k.A.	k.A.	Klosterberg	2	150-210	hängig-steil	SW
455	wlv-651038	6.5.1.038	aktuell	Einzellage	Mosel	Saar	Saarburg	Q543639	Scharzberg		k.A.	k.A.	Kupp	10	170-310	steil	SO-SW
456	wlv-651039	6.5.1.039	aktuell	Einzellage	Mosel	Saar	Saarburg	Q543639	Scharzberg		k.A.	k.A.	Rausch	9	160-240	steil	SO-S
457	wlv-651040	6.5.1.040	aktuell	Einzellage	Mosel	Saar	Schoden	Q646456	Scharzberg		k.A.	k.A.	Herrenberg	9	120-250	hängig-steil	W-NW
458	wlv-651041	6.5.1.041	aktuell	Einzellage	Mosel	Saar	Schoden	Q646456	Scharzberg		k.A.	k.A.	Saarfeilser Marienberg	3	140-175	steil	SSO
