LN	WLV-ID	LWK-RLP (Lagennr.)	DWI (Reg.Nr.)	Weinlagen (ID)	Status	Typ	Gebiet	Bereich	Leitgemeinde	Wikidata-ID (Leitgemeinde)	Gemarkung	Großlage	Wikidata-ID (Großlage)	Ort	Wikidata-ID (Ort)	Einzellage	Wikidata-ID (Einzellage)	Rebfläche (DWI, 2006)	Rebfläche (LWK-RLP, 2020)	über NN (DWI)	Neigung (DWI)	Exposition (DWI)	Boden (DWI)	DWI-2006	LWK-RLP-2020	Weinlagen-2022	DFWS-2022
435	wlv-651018		6.5.1.018		aktuell	Einzellage	Mosel	Saar	Konz	Q503185		Scharzberg		k.A.	k.A.	Euchariusberg		7		160-250	hängig-steil	SW		1			
436	wlv-651019		6.5.1.019		aktuell	Einzellage	Mosel	Saar	Falkenstein	Q818576		Scharzberg		k.A.	k.A.	Hofberg		14		180-240	flach			1			
437	wlv-651020		6.5.1.020		aktuell	Einzellage	Mosel	Saar	Konz	Q503185		Scharzberg		k.A.	k.A.	Karthäuser Klosterberg		3		140-250	hängig-steil	NO		1			
438	wlv-651021		6.5.1.021		aktuell	Einzellage	Mosel	Saar	Krettnach	Q503185		Scharzberg		k.A.	k.A.	Altenberg		20		220-300	hängig-steil			1			
439	wlv-651022		6.5.1.022		aktuell	Einzellage	Mosel	Saar	Krettnach	Q503185		Scharzberg		k.A.	k.A.	Euchariusberg		41		220-300	hängig-steil	SW-W		1			
440	wlv-651023		6.5.1.023		aktuell	Einzellage	Mosel	Saar	Serrig	Q656819		Scharzberg		k.A.	k.A.	Herrenberg		21		160-360	steil	SSW		1			
441	wlv-651024		6.5.1.024		aktuell	Einzellage	Mosel	Saar	Ayl	Q186199		Scharzberg		k.A.	k.A.	Sonnenberg		21		190-220	steil	SO-S-WS		1			
442	wlv-651025		6.5.1.025		aktuell	Einzellage	Mosel	Saar	Oberemmel	Q47037444		Scharzberg		k.A.	k.A.	Agritiusberg		3		170-180	hängig	SO		1			
443	wlv-651026		6.5.1.026		aktuell	Einzellage	Mosel	Saar	Oberemmel	Q47037444		Scharzberg		k.A.	k.A.	Altenberg		11		200-320	hängig-steil	SO		1			
444	wlv-651027		6.5.1.027		aktuell	Einzellage	Mosel	Saar	Oberemmel	Q47037444		Scharzberg		k.A.	k.A.	Hütte		5		190-230	hängig-steil	SO		1			
445	wlv-651028		6.5.1.028		aktuell	Einzellage	Mosel	Saar	Oberemmel	Q47037444		Scharzberg		k.A.	k.A.	Karlsberg		32		190-260	hängig	SW		1			
446	wlv-651029		6.5.1.029		aktuell	Einzellage	Mosel	Saar	Oberemmel	Q47037444		Scharzberg		k.A.	k.A.	Raul		2		160-180	steil	SO		1			
447	wlv-651030		6.5.1.030		aktuell	Einzellage	Mosel	Saar	Oberemmel	Q47037444		Scharzberg		k.A.	k.A.	Rosenberg		32		170-270	hängig-steil	SW		1			
448	wlv-651031		6.5.1.031		aktuell	Einzellage	Mosel	Saar	Ockfen	Q643198		Scharzberg		k.A.	k.A.	Bockstein		53		160-300	hängig-steil	S-W+O-O		1			
449	wlv-651032		6.5.1.032		aktuell	Einzellage	Mosel	Saar	Ockfen	Q643198		Scharzberg		k.A.	k.A.	Geisberg		5		200-380	hängig-steil	SSO-S		1			
450	wlv-651033		6.5.1.033		aktuell	Einzellage	Mosel	Saar	Saarburg	Q543639		Scharzberg		k.A.	k.A.	Antoniusbrunnen		7		190-290	steil	S		1			
451	wlv-651034		6.5.1.034		aktuell	Einzellage	Mosel	Saar	Saarburg	Q543639		Scharzberg		k.A.	k.A.	Bergschlößchen		3		190-280	steil	SW-SO		1			
452	wlv-651035		6.5.1.035		aktuell	Einzellage	Mosel	Saar	Saarburg	Q543639		Scharzberg		k.A.	k.A.	Schloßberg		1		160-230	steil	O		1			
453	wlv-651036		6.5.1.036		aktuell	Einzellage	Mosel	Saar	Saarburg	Q543639		Scharzberg		k.A.	k.A.	Fuchs		6		180-310	steil	SO		1			
454	wlv-651037		6.5.1.037		aktuell	Einzellage	Mosel	Saar	Saarburg	Q543639		Scharzberg		k.A.	k.A.	Klosterberg		2		150-210	hängig-steil	SW		1			
455	wlv-651038		6.5.1.038		aktuell	Einzellage	Mosel	Saar	Saarburg	Q543639		Scharzberg		k.A.	k.A.	Kupp		10		170-310	steil	SO-SW		1			
456	wlv-651039		6.5.1.039		aktuell	Einzellage	Mosel	Saar	Saarburg	Q543639		Scharzberg		k.A.	k.A.	Rausch		9		160-240	steil	SO-S		1			
457	wlv-651040		6.5.1.040		aktuell	Einzellage	Mosel	Saar	Schoden	Q646456		Scharzberg		k.A.	k.A.	Herrenberg		9		120-250	hängig-steil	W-NW		1			
458	wlv-651041		6.5.1.041		aktuell	Einzellage	Mosel	Saar	Schoden	Q646456		Scharzberg		k.A.	k.A.	Saarfeilser Marienberg		3		140-175	steil	SSO		1			
459	wlv-651042		6.5.1.042		aktuell	Einzellage	Mosel	Saar	Serrig	Q656819		Scharzberg		k.A.	k.A.	Antoniusberg		9		160-240	hängig-steil	O		1			
460	wlv-651043		6.5.1.043		aktuell	Einzellage	Mosel	Saar	Serrig	Q656819		Scharzberg		k.A.	k.A.	Heiligenborn		6		240-310	steil	SSW		1			
461	wlv-651044		6.5.1.044		aktuell	Einzellage	Mosel	Saar	Ayl	Q186199		Scharzberg		k.A.	k.A.	Herrenberg		7		200-240	steil	SW		1			
462	wlv-651045		6.5.1.045		aktuell	Einzellage	Mosel	Saar	Ayl	Q186199		Scharzberg		k.A.	k.A.	Kupp		7		170-310	steil	SO-SW		1			
463	wlv-651046		6.5.1.046		aktuell	Einzellage	Mosel	Saar	Serrig	Q656819		Scharzberg		k.A.	k.A.	Schloß Saarsteiner		8		135-235	hängig-steil	W		1			
464	wlv-651047		6.5.1.047		aktuell	Einzellage	Mosel	Saar	Serrig	Q656819		Scharzberg		k.A.	k.A.	Schloß Saarsteiner Schloßberg		6		175-240	hängig-steil	SW		1			
465	wlv-651048		6.5.1.048		aktuell	Einzellage	Mosel	Saar	Serrig	Q656819		Scharzberg		k.A.	k.A.	Vogelsang		13		140-310	hängig-steil	SO-S		1			
466	wlv-651049		6.5.1.049		aktuell	Einzellage	Mosel	Saar	Serrig	Q656819		Scharzberg		k.A.	k.A.	Würtzberg		5		160-280	steil	SO		1			
467	wlv-651050		6.5.1.050		aktuell	Einzellage	Mosel	Saar	Wawern	Q565310		Scharzberg		k.A.	k.A.	Goldberg		8		170-263	hängig-steil	S-SW		1			
468	wlv-651051		6.5.1.051		aktuell	Einzellage	Mosel	Saar	Wawern	Q565310		Scharzberg		k.A.	k.A.	Herrenberger		3		170-263	hängig-steil	S		1			
469	wlv-651052		6.5.1.052		aktuell	Einzellage	Mosel	Saar	Wawern	Q565310		Scharzberg		k.A.	k.A.	Jesuitenberg		1		180-263	hängig-steil	SSO		1			
470	wlv-651053		6.5.1.053		aktuell	Einzellage	Mosel	Saar	Wawern	Q565310		Scharzberg		k.A.	k.A.	Ritterpfad		10		170-263	hängig-steil	SO-SW		1			
471	wlv-651054		6.5.1.054		aktuell	Einzellage	Mosel	Saar	Wiltingen	Q161930		Scharzberg		k.A.	k.A.	Braune Kupp		4		135-280	hängig-steil	SSW		1			
472	wlv-651055		6.5.1.055		aktuell	Einzellage	Mosel	Saar	Wiltingen	Q161930		Scharzberg		k.A.	k.A.	Braunfels		19		150-320	hängig-steil	SW+W		1			
473	wlv-651056		6.5.1.056		aktuell	Einzellage	Mosel	Saar	Wiltingen	Q161930		Scharzberg		k.A.	k.A.	Gottesfuß		3		160-260	steil	WSW-W		1			
474	wlv-651057		6.5.1.057		aktuell	Einzellage	Mosel	Saar	Wiltingen	Q161930		Scharzberg		k.A.	k.A.	Hölle		2		135-180	hängig-steil	SSO		1			
475	wlv-651058		6.5.1.058		aktuell	Einzellage	Mosel	Saar	Wiltingen	Q161930		Scharzberg		k.A.	k.A.	Klosterberg		42		160-310	hängig-steil	SW-W		1			
476	wlv-651059		6.5.1.059		aktuell	Einzellage	Mosel	Saar	Serrig	Q656819		Scharzberg		k.A.	k.A.	Kupp		7		160-200	hängig	S		1			
477	wlv-651060		6.5.1.060		aktuell	Einzellage	Mosel	Saar	Wiltingen	Q161930		Scharzberg		k.A.	k.A.	Rosenberg		23		160-290	hängig	WSW		1			
478	wlv-651061		6.5.1.061		aktuell	Einzellage	Mosel	Saar	k.A.	k.A.		Scharzberg		k.A.	k.A.	k.A.		28		150-200	hängig-steil	O		1			
479	wlv-651062		6.5.1.062		aktuell	Einzellage	Mosel	Saar	Wiltingen	Q161930		Scharzberg		k.A.	k.A.	Schlangengraben		27		150-230	hängig-steil	OSO-S		1			
480	wlv-651063		6.5.1.063		aktuell	Einzellage	Mosel	Saar	Wiltingen	Q161930		Scharzberg		k.A.	k.A.	Schloßberg		3		150-200	hängig-steil	O		1			
481	wlv-651064		6.5.1.064		aktuell	Einzellage	Mosel	Saar	Pellingen	Q655962		Scharzberg		k.A.	k.A.	Herrgottsrock		1		300-370	hängig-steil	SO		1			
482	wlv-651065		6.5.1.065		aktuell	Einzellage	Mosel	Saar	Saarburg	Q543639		Scharzberg		k.A.	k.A.	Laurentiusberg		1		170-210	hängig	W		1			
483	wlv-651066		6.5.1.066		aktuell	Einzellage	Mosel	Saar	Niederleuken	Q543639		Scharzberg		k.A.	k.A.	Stirn		1		170-200	steil	OSO		1			
484	wlv-660000		6.6.		aktuell	Bereich	Mosel	Moseltor	k.A.	k.A.				k.A.	k.A.	k.A.		113						1			
485	wlv-661000		6.6.1.		aktuell	Großlage	Mosel	Moseltor	k.A.	k.A.		Schloß Bübingen		k.A.	k.A.	k.A.		111		151-275				1			
486	wlv-661525		6.6.1.525		aktuell	Einzellage	Mosel	Moseltor	Perl	Q662505		Schloß Bübingen		k.A.	k.A.	Hasenberg		13		180-240	hängig	W		1			
487	wlv-661524		6.6.1.524		aktuell	Einzellage	Mosel	Moseltor	Perl	Q662505		Schloß Bübingen		k.A.	k.A.	Quiriniusberg		25		162-212	hängig	SW-W		1			
488	wlv-661522		6.6.1.522		aktuell	Einzellage	Mosel	Moseltor	Sehndorf	Q2266381		Schloß Bübingen		k.A.	k.A.	Klosterberg		16		162-207	hängig	S-W		1			
489	wlv-621164		6.2.1.164		aktuell	Einzellage	Mosel	Moseltor	Sehndorf	Q2266381		Schloß Bübingen		k.A.	k.A.	Marienberg		24		225-275	hängig	S-W		1			
490	wlv-661520		6.6.1.520		aktuell	Einzellage	Mosel	Moseltor	Nennig	Q316804		Schloß Bübingen		k.A.	k.A.	Schloßberg		22		151-160	hängig			1			
491	wlv-661521		6.6.1.521		aktuell	Einzellage	Mosel	Moseltor	Nennig	Q316804		Schloß Bübingen		k.A.	k.A.	Römerberg		11		190-220	hängig	S-W		1			
492	wlv-h00001	keine	keine		Altlage	k.A.	Mosel	k.A.	k.A.	k.A.		k.A.	k.A.	Alf	Q568556	Gartenwingert		k.A.		k.A.	k.A.	k.A.		0	0	0	1
493	wlv-h00002	keine	keine		Altlage	k.A.	Mosel	k.A.	k.A.	k.A.		k.A.	k.A.	Alf	Q568556	Niederberg		k.A.		k.A.	k.A.	k.A.		0	0	0	1
494	wlv-h00003	keine	keine		Altlage	k.A.	Mosel	k.A.	k.A.	k.A.		k.A.	k.A.	Alken	Q305288	Sonnenring		k.A.		k.A.	k.A.	k.A.		0	0	0	1
495	wlv-h00004	keine	keine		Altlage	k.A.	Mosel	k.A.	Bernkastel-Kues	Q155622		k.A.	k.A.	Andel	k.A.	Sonnseite		k.A.		k.A.	k.A.	k.A.		0	0	0	1
496	wlv-h00005	keine	keine		Altlage	k.A.	Mosel	k.A.	Trier	Q3138		k.A.	k.A.	Avelsbach	k.A.	Thielslei		k.A.		k.A.	k.A.	k.A.		0	0	0	1
497	wlv-h00006	keine	keine		Altlage	k.A.	Mosel	k.A.	Trier	Q3138		k.A.	k.A.	Avelsbach	k.A.	Vogelgesang		k.A.		k.A.	k.A.	k.A.		0	0	0	1
498	wlv-h00007	keine	keine		Altlage	k.A.	Mosel	k.A.	Trier	Q3138		k.A.	k.A.	Avelsbach	k.A.	Wolfsgraben		k.A.		k.A.	k.A.	k.A.		0	0	0	1
499	wlv-h00008	keine	keine		Altlage		Mosel							Bausendorf		Niederberg								0	0	0	1
500	wlv-h00009	keine	keine		Altlage		Mosel							Beilstein		Herrenberg								0	0	0	1
501	wlv-h00010	keine	keine		Altlage		Mosel							Beilstein		Porteberg								0	0	0	1
502	wlv-h00011	keine	keine		Altlage		Mosel							Beilstein		Weinborn								0	0	0	1
503	wlv-h00012	keine	keine		Altlage		Mosel							Beilstein		Woogberg								0	0	0	1
504	wlv-h00013	keine	keine		Altlage		Mosel							Bernkastel		Altenwald								0	0	0	1
505	wlv-h00014	keine	keine		Altlage		Mosel							Bernkastel		Amorpfad								0	0	0	1
506	wlv-h00015	keine	keine		Altlage		Mosel							Bernkastel		Braunes								0	0	0	1
507	wlv-h00016	keine	keine		Altlage		Mosel							Bernkastel		Domherrenbrünnchen								0	0	0	1
508	wlv-h00017	keine	keine		Altlage		Mosel							Bernkastel		Geisberg								0	0	0	1
509	wlv-h00018	keine	keine		Altlage		Mosel							Bernkastel		Gisbertus Klause								0	0	0	1
510	wlv-h00019	keine	keine		Altlage		Mosel							Bernkastel		Haargarten								0	0	0	1
511	wlv-h00020	keine	keine		Altlage		Mosel							Bernkastel		Hammerstein								0	0	0	1
512	wlv-h00021	keine	keine		Altlage		Mosel							Bernkastel		Held								0	0	0	1
513	wlv-h00022	keine	keine		Altlage		Mosel							Bernkastel		Herrenberg								0	0	0	1
514	wlv-h00023	keine	keine		Altlage		Mosel							Bernkastel		Hofberg								0	0	0	1
515	wlv-h00024	keine	keine		Altlage		Mosel							Bernkastel		Kardinalsberg								0	0	0	1
516	wlv-h00025	keine	keine		Altlage		Mosel							Bernkastel		Kirchengrube								0	0	0	1
517	wlv-h00026	keine	keine		Altlage		Mosel							Bernkastel		Königstuhl								0	0	0	1
518	wlv-h00027	keine	keine		Altlage		Mosel							Bernkastel		Kreiswingert								0	0	0	1
519	wlv-h00028	keine	keine		Altlage		Mosel							Bernkastel		Margarethenberg								0	0	0	1
520	wlv-h00029	keine	keine		Altlage		Mosel							Bernkastel		Michaelsberg								0	0	0	1
521	wlv-h00030	keine	keine		Altlage		Mosel							Bernkastel		Olk								0	0	0	1
522	wlv-h00031	keine	keine		Altlage		Mosel							Bernkastel		Pallert								0	0	0	1
523	wlv-h00032	keine	keine		Altlage		Mosel							Bernkastel		Pfaffenberg								0	0	0	1
524	wlv-h00033	keine	keine		Altlage		Mosel							Bernkastel		Pfalzgraben								0	0	0	1
525	wlv-h00034	keine	keine		Altlage		Mosel							Bernkastel		Rosenberg								0	0	0	1
526	wlv-h00035	keine	keine		Altlage		Mosel							Bernkastel		Schwanen								0	0	0	1
527	wlv-h00036	keine	keine		Altlage		Mosel							Bernkastel		Steinkaul								0	0	0	1
528	wlv-h00037	keine	keine		Altlage		Mosel							Bernkastel		Theurenkauf								0	0	0	1
529	wlv-h00038	keine	keine		Altlage		Mosel							Bernkastel		Urglück								0	0	0	1
530	wlv-h00039	keine	keine		Altlage		Mosel							Bernkastel-Kues		Herrenberg								0	0	0	1
531	wlv-h00040	keine	keine		Altlage		Mosel							Biewer		Augenscheiner Stübchen								0	0	0	1
532	wlv-h00041	keine	keine		Altlage		Mosel							Biewer		Augenscheiner Treppchen								0	0	0	1
533	wlv-h00042	keine	keine		Altlage		Mosel							Brauneberg		Bürgerslay								0	0	0	1
534	wlv-h00043	keine	keine		Altlage		Mosel							Brauneberg		Falkenberg								0	0	0	1
535	wlv-h00044	keine	keine		Altlage		Mosel							Brauneberg		Falklay								0	0	0	1
536	wlv-h00045	keine	keine		Altlage		Mosel							Brauneberg		Gold								0	0	0	1
537	wlv-h00046	keine	keine		Altlage		Mosel							Brauneberg		In den Juffern								0	0	0	1
538	wlv-h00047	keine	keine		Altlage		Mosel							Brauneberg		Juffer-Falkenberg								0	0	0	1
539	wlv-h00048	keine	keine		Altlage		Mosel							Brauneberg		Juffer-Nonnenlay								0	0	0	1
540	wlv-h00049	keine	keine		Altlage		Mosel							Brauneberg		Lay								0	0	0	1
541	wlv-h00050	keine	keine		Altlage		Mosel							Brauneberg		Nonnenberg								0	0	0	1
542	wlv-h00051	keine	keine		Altlage		Mosel							Brauneberg		Nonnenlay								0	0	0	1
543	wlv-h00052	keine	keine		Altlage		Mosel							Brauneberg		Pichter								0	0	0	1
544	wlv-h00053	keine	keine		Altlage		Mosel							Bremm		Kirchberg								0	0	0	1
545	wlv-h00054	keine	keine		Altlage		Mosel							Bremm		Klostergarten								0	0	0	1
546	wlv-h00055	keine	keine		Altlage		Mosel							Bremm		Klosterkaul								0	0	0	1
547	wlv-h00056	keine	keine		Altlage		Mosel							Bremm		Schlemmer								0	0	0	1
548	wlv-h00057	keine	keine		Altlage		Mosel							Bremm		Steinkaul								0	0	0	1
549	wlv-h00058	keine	keine		Altlage		Mosel							Bremm		Sterneberg								0	0	0	1
550	wlv-h00059	keine	keine		Altlage		Mosel							Bremm		Stubener Klostergarten								0	0	0	1
551	wlv-h00060	keine	keine		Altlage		Mosel							Bremm		Stubener Sternenberg								0	0	0	1
552	wlv-h00061	keine	keine		Altlage		Mosel							Bremm		Unserer Lieben Frauen Rosengärtlein								0	0	0	1
553	wlv-h00062	keine	keine		Altlage		Mosel							Bremm		Vogelsang								0	0	0	1
554	wlv-h00063	keine	keine		Altlage		Mosel							Briedel		Berg								0	0	0	1
555	wlv-h00064	keine	keine		Altlage		Mosel							Briedel		Kelterhausberg								0	0	0	1
556	wlv-h00065	keine	keine		Altlage		Mosel							Briedel		Tischlay								0	0	0	1
557	wlv-h00066	keine	keine		Altlage		Mosel							Briedern		Rüberberger Altarberg								0	0	0	1
558	wlv-h00067	keine	keine		Altlage		Mosel							Brodenbach		Burgberg								0	0	0	1
559	wlv-h00068	keine	keine		Altlage		Mosel							Brodenbach		Ehrenthaler								0	0	0	1
560	wlv-h00069	keine	keine		Altlage		Mosel							Brodenbach		Hunnenstein								0	0	0	1
561	wlv-h00070	keine	keine		Altlage		Mosel							Bruttig		Berg								0	0	0	1
562	wlv-h00071	keine	keine		Altlage		Mosel							Bruttig		Heiligenhäuschen								0	0	0	1
563	wlv-h00072	keine	keine		Altlage		Mosel							Bruttig		Kuckuck								0	0	0	1
564	wlv-h00073	keine	keine		Altlage		Mosel							Bruttig		Steinkaul								0	0	0	1
565	wlv-h00074	keine	keine		Altlage		Mosel							Bullay		Karfunkelsberg								0	0	0	1
566	wlv-h00075	keine	keine		Altlage		Mosel							Bullay		Kirchgarten								0	0	0	1
567	wlv-h00076	keine	keine		Altlage		Mosel							Bullay		Merlenberg								0	0	0	1
568	wlv-h00077	keine	keine		Altlage		Mosel							Bullay		Reichertsberg								0	0	0	1
569	wlv-h00078	keine	keine		Altlage		Mosel							Bullay		Silbergraben								0	0	0	1
570	wlv-h00079	keine	keine		Altlage		Mosel							Burg		Falkenberg								0	0	0	1
571	wlv-h00080	keine	keine		Altlage		Mosel							Burg		Goldlay								0	0	0	1
572	wlv-h00081	keine	keine		Altlage		Mosel							Burg		Kapellenberg								0	0	0	1
573	wlv-h00082	keine	keine		Altlage		Mosel							Burg		Klosterfeld								0	0	0	1
574	wlv-h00083	keine	keine		Altlage		Mosel							Burg		Kreuzgarten								0	0	0	1
575	wlv-h00084	keine	keine		Altlage		Mosel							Burg		Mittagslay								0	0	0	1
576	wlv-h00085	keine	keine		Altlage		Mosel							Burg		Pfarrgut								0	0	0	1
577	wlv-h00086	keine	keine		Altlage		Mosel							Burg		Rote Mauer								0	0	0	1
578	wlv-h00087	keine	keine		Altlage		Mosel							Burgen		Bitsch								0	0	0	1
579	wlv-h00088	keine	keine		Altlage		Mosel							Burgen		Detschel								0	0	0	1
580	wlv-h00089	keine	keine		Altlage		Mosel							Burgen		Hasenläufer-Rechpfad								0	0	0	1
581	wlv-h00090	keine	keine		Altlage		Mosel							Burgen		Klopplay								0	0	0	1
582	wlv-h00091	keine	keine		Altlage		Mosel							Burgen		Morgengut								0	0	0	1
583	wlv-h00092	keine	keine		Altlage		Mosel							Burgen		Niederberg								0	0	0	1
584	wlv-h00093	keine	keine		Altlage		Mosel							Burgen		Pastorenwingert								0	0	0	1
585	wlv-h00094	keine	keine		Altlage		Mosel							Burgen		Bischofstein Burglay								0	0	0	1
586	wlv-h00095	keine	keine		Altlage		Mosel							Cochem		Am Schloß								0	0	0	1
587	wlv-h00096	keine	keine		Altlage		Mosel							Cochem		Christenberg								0	0	0	1
588	wlv-h00097	keine	keine		Altlage		Mosel							Cochem		Endertberg								0	0	0	1
589	wlv-h00098	keine	keine		Altlage		Mosel							Cochem		Fahlsberg								0	0	0	1
590	wlv-h00099	keine	keine		Altlage		Mosel							Cochem		Flain								0	0	0	1
591	wlv-h00100	keine	keine		Altlage		Mosel							Cochem		Hahnenberg								0	0	0	1
592	wlv-h00101	keine	keine		Altlage		Mosel							Cochem		Hochlay								0	0	0	1
593	wlv-h00102	keine	keine		Altlage		Mosel							Cochem		Kern								0	0	0	1
594	wlv-h00103	keine	keine		Altlage		Mosel							Cochem		Krampen								0	0	0	1
595	wlv-h00104	keine	keine		Altlage		Mosel							Cochem		Langenberg								0	0	0	1
596	wlv-h00105	keine	keine		Altlage		Mosel							Cochem		Planteger Sonnkaul								0	0	0	1
597	wlv-h00106	keine	keine		Altlage		Mosel							Cochem		Räuschelberg								0	0	0	1
598	wlv-h00107	keine	keine		Altlage		Mosel							Cochem		Tiefentaler Bischofstuhl								0	0	0	1
599	wlv-h00108	keine	keine		Altlage		Mosel							Cochem		Tummelchen								0	0	0	1
600	wlv-h00109	keine	keine		Altlage		Mosel							Cochem		Winneburg								0	0	0	1
601	wlv-h00110	keine	keine		Altlage		Mosel							Cond		Hahnenberg								0	0	0	1
602	wlv-h00111	keine	keine		Altlage		Mosel							Cond		Hohlay								0	0	0	1
603	wlv-h00112	keine	keine		Altlage		Mosel							Cond		Rosenberg-Pfirsichbäumchen								0	0	0	1
604	wlv-h00113	keine	keine		Altlage		Mosel							Detzem		Karicht								0	0	0	1
605	wlv-h00114	keine	keine		Altlage		Mosel							Detzem		Königsberg								0	0	0	1
606	wlv-h00115	keine	keine		Altlage		Mosel							Detzem		Stolzenberg								0	0	0	1
607	wlv-h00116	keine	keine		Altlage		Mosel							Dhron		Burglay								0	0	0	1
608	wlv-h00117	keine	keine		Altlage		Mosel							Dhron		Grafenberg								0	0	0	1
609	wlv-h00118	keine	keine		Altlage		Mosel							Dhron		Großer Hengelberg-Mittelstück								0	0	0	1
610	wlv-h00119	keine	keine		Altlage		Mosel							Dhron		Hengelberg								0	0	0	1
611	wlv-h00120	keine	keine		Altlage		Mosel							Dhron		Hengelberg-Lichteneck								0	0	0	1
612	wlv-h00121	keine	keine		Altlage		Mosel							Dhron		Hofberg								0	0	0	1
613	wlv-h00122	keine	keine		Altlage		Mosel							Dhron		Kandel								0	0	0	1
614	wlv-h00123	keine	keine		Altlage		Mosel							Dhron		Leyenberg								0	0	0	1
615	wlv-h00124	keine	keine		Altlage		Mosel							Dhron		Maley								0	0	0	1
616	wlv-h00125	keine	keine		Altlage		Mosel							Dhron		Rosenberg								0	0	0	1
617	wlv-h00126	keine	keine		Altlage		Mosel							Dhron		Roterd-Kirchenstück								0	0	0	1
618	wlv-h00127	keine	keine		Altlage		Mosel							Dhron		Roterd-Klaus								0	0	0	1
619	wlv-h00128	keine	keine		Altlage		Mosel							Dhron		Sängerei								0	0	0	1
620	wlv-h00129	keine	keine		Altlage		Mosel							Dreis		Lay								0	0	0	1
621	wlv-h00130	keine	keine		Altlage		Mosel							Ediger		Elzogberg								0	0	0	1
622	wlv-h00131	keine	keine		Altlage		Mosel							Ediger		Hofberg								0	0	0	1
623	wlv-h00132	keine	keine		Altlage		Mosel							Ediger		Lehmerhofberg								0	0	0	1
624	wlv-h00133	keine	keine		Altlage		Mosel							Eitelsbach		Hofberg								0	0	0	1
625	wlv-h00134	keine	keine		Altlage		Mosel							Eitelsbach		Karthäuserhofberg Burgberg								0	0	0	1
626	wlv-h00135	keine	keine		Altlage		Mosel							Eitelsbach		Karthäuserhofberg Kronenberg								0	0	0	1
627	wlv-h00136	keine	keine		Altlage		Mosel							Eitelsbach		Karthäuserhofberg Orthsberg								0	0	0	1
628	wlv-h00137	keine	keine		Altlage		Mosel							Eitelsbach		Karthäuserhofberg Sang								0	0	0	1
629	wlv-h00138	keine	keine		Altlage		Mosel							Eitelsbach		Karthäuserhofberg Stirn								0	0	0	1
630	wlv-h00139	keine	keine		Altlage		Mosel							Eitelsbach		Marienberg								0	0	0	1
631	wlv-h00140	keine	keine		Altlage		Mosel							Eitelsbach		Sonnenberg								0	0	0	1
632	wlv-h00141	keine	keine		Altlage		Mosel							Eitelsbach		Wäldchen								0	0	0	1
633	wlv-h00142	keine	keine		Altlage		Mosel							Ellenz		Domherrenberg								0	0	0	1
634	wlv-h00143	keine	keine		Altlage		Mosel							Eller		Berg								0	0	0	1
635	wlv-h00144	keine	keine		Altlage		Mosel							Eller		Engelspinkel								0	0	0	1
636	wlv-h00145	keine	keine		Altlage		Mosel							Eller		Goldberg								0	0	0	1
637	wlv-h00146	keine	keine		Altlage		Mosel							Eller		Hurst								0	0	0	1
638	wlv-h00147	keine	keine		Altlage		Mosel							Eller		Rotköpfchen								0	0	0	1
639	wlv-h00148	keine	keine		Altlage		Mosel							Eller		Stubener Klostergarten								0	0	0	1
640	wlv-h00149	keine	keine		Altlage		Mosel							Enkirch		Ellergrub-Klosterwingert								0	0	0	1
641	wlv-h00150	keine	keine		Altlage		Mosel							Enkirch		Gaispfad								0	0	0	1
642	wlv-h00151	keine	keine		Altlage		Mosel							Enkirch		Hahnes Kaul								0	0	0	1
643	wlv-h00152	keine	keine		Altlage		Mosel							Enkirch		Hanes Sonnseite								0	0	0	1
644	wlv-h00153	keine	keine		Altlage		Mosel							Enkirch		Herrenberg-Burgkehr								0	0	0	1
645	wlv-h00154	keine	keine		Altlage		Mosel							Enkirch		Herrenberg-Lacherrech								0	0	0	1
646	wlv-h00155	keine	keine		Altlage		Mosel							Enkirch		Herrenberg-Leid								0	0	0	1
647	wlv-h00156	keine	keine		Altlage		Mosel							Enkirch		Herrenberg-Mannwingert								0	0	0	1
648	wlv-h00157	keine	keine		Altlage		Mosel							Enkirch		Herrenberg-Zeppwingert								0	0	0	1
649	wlv-h00158	keine	keine		Altlage		Mosel							Enkirch		Herrenwingert								0	0	0	1
650	wlv-h00159	keine	keine		Altlage		Mosel							Enkirch		Hinterberg								0	0	0	1
651	wlv-h00160	keine	keine		Altlage		Mosel							Enkirch		Klosterberg Häuschen								0	0	0	1
652	wlv-h00161	keine	keine		Altlage		Mosel							Enkirch		Monteneubel-Leckmund								0	0	0	1
653	wlv-h00162	keine	keine		Altlage		Mosel							Enkirch		Steffensberg Löwenbaum								0	0	0	1
654	wlv-h00163	keine	keine		Altlage		Mosel							Enkirch		Steffensberg-Eschewingert								0	0	0	1
655	wlv-h00164	keine	keine		Altlage		Mosel							Enkirch		Steffensberg-Güldengrub								0	0	0	1
656	wlv-h00165	keine	keine		Altlage		Mosel							Enkirch		Stephansberg								0	0	0	1
657	wlv-h00166	keine	keine		Altlage		Mosel							Enkirch		Trarbacherweg								0	0	0	1
658	wlv-h00167	keine	keine		Altlage		Mosel							Enkirch		Ungsberg								0	0	0	1
659	wlv-h00168	keine	keine		Altlage		Mosel							Enkirch		Unterburg								0	0	0	1
660	wlv-h00169	keine	keine		Altlage		Mosel							Enkirch		Unterburger Herrenwingert								0	0	0	1
661	wlv-h00170	keine	keine		Altlage		Mosel							Ensch		Herrenberg								0	0	0	1
